Phase,Priority,Task,Description,Owner,Status,Notes
1 - Account Setup,P0 - Critical,Get GHL Location ID,"Obtain the client's GoHighLevel location ID from their account settings. This is the master key — every component filters data by it.",Internal,Not Started,Required before ANY other setup
1 - Account Setup,P0 - Critical,Set Location ID in Platform,"Configure window.TNOW_LOCATION_ID or URL param ?locationId=XXX on all pages",Internal,Not Started,"Can also be set via localStorage once, persists across pages"
1 - Account Setup,P0 - Critical,Verify n8n Webhook Access,"Confirm the client's location can reach the Gallery API (GET) and Admin API (POST) webhooks",Internal,Not Started,"Gallery: /webhook/5af3d2be-... | Admin: /webhook/tattoo-admin-api"
1 - Account Setup,P1 - High,Set Studio Greeting Custom Value,"Create GHL custom value: 01__studio__greeting with the client's studio welcome message",Internal,Not Started,"Example: Welcome to [Studio Name]!"
1 - Account Setup,P1 - High,Set Gallery Page URL Custom Value,"Create GHL custom value: gallery_page_url pointing to their tattoo gallery page",Internal,Not Started,"Example: https://clientdomain.com/tattoo-flash-designs-page"
1 - Account Setup,P1 - High,Set Categories Page URL Custom Value,"Create GHL custom value: categories_page_url pointing to their categories page",Internal,Not Started,"Example: https://clientdomain.com/tattoo-flash-categories"
1 - Account Setup,P1 - High,Set Design Form URL Custom Value,"Create GHL custom value: design_form_url pointing to their booking/request form",Internal,Not Started,"Example: https://clientdomain.com/book-design"
1 - Account Setup,P1 - High,Set Consultation Calendar Custom Value,"Create GHL custom value: 03__consultation_calendar with their booking calendar URL",Internal,Not Started,Used by the gallery booking button
2 - Page Creation,P0 - Critical,Create Categories Page,"Build GHL page at /tattoo-flash-categories — add Custom Code element with categories loader from ghl-loaders.html",Internal,Not Started,Responsive grid of tattoo style categories with featured images & counts
2 - Page Creation,P0 - Critical,Create Gallery Page,"Build GHL page at /tattoo-flash-designs-page — add Custom Code element with gallery loader from ghl-loaders.html",Internal,Not Started,"Full gallery with search, filters, modal details, watermark protection, booking button"
